school_name,school_district,school_level,school_state,school_students
NIAGARA FALLS HIGH SCHOOL,NIAGARA FALLS CITY SCHOOL DISTRICT,High,NY,540
Heritage Hill Elementary School,Princeton City,Elementary,OH,836
Fox Cities Leadership Academy,Appleton Area School District,High,WI,394
NORTH COUNTY K-8 CENTER,MIAMI-DADE,Elementary,FL,208
Manassas High,Shelby County,High,TN,772
CARSON ELEMENTARY SCHOOL,School District No. 1 in the county of Denver and State of C,Elementary,CO,933
Legacy Traditional School - East Mesa,Legacy Traditional School - East Mesa (834265),Elementary,AZ,494
MANATEE CHARTER SCHOOL,MANATEE,Elementary,FL,620
Lincoln Elementary,Lancaster Elementary,Elementary,CA,519
WHITESBORO H S,WHITESBORO ISD,High,TX,398
DONIPHAN MIDDLE,DONIPHAN R-I,Middle,MO,781
Jerry D. Holland Middle,Baldwin Park Unified,Middle,CA,631
Minarets High,Chawanakee Unified,High,CA,281
MCWHORTER EL,LUBBOCK ISD,Elementary,TX,353
Armada High School,Armada Area Schools,High,MI,591
HAYFIELD ELEMENTARY,HAYFIELD PUBLIC SCHOOL DISTRICT,Elementary,MN,501
Whitewater Middle School,Fayette County,Middle,GA,498
Class ACT Charter,Chequamegon School District,High,WI,129
COALGATE HS,COALGATE,High,OK,647
COZAD ELEMENTARY SCHOOL,COZAD COMMUNITY SCHOOLS,Elementary,NE,594
Centennial High,Compton Unified,High,CA,811
FOWLER EL,WICHITA FALLS ISD,Elementary,TX,988
NEWFOLDEN ELEMENTARY,MARSHALL COUNTY CENTRAL SCHOOLS,Elementary,MN,731
STUBBLEFIELD LRN CTR,CENTRAL ISD,High,TX,994
Knowledge Enlightens You (KEY) Academy,Knowledge Enlightens You (KEY) Academy District,Elementary,CA,695
CALVIN VINCENT PRE-K HEAD START,TEXAS CITY ISD,Prekindergarten,TX,905
Stevens High School - 42,Rapid City Area School District 51-4,High,SD,772
TUTTLE INTERMEDIATE ES,TUTTLE,Elementary,OK,208
CAVIT - Santa Cruz Valley Union High School,Central Arizona Valley Institute of Technology (79385),High,AZ,354
Laremont School,Spec Educ Dist Lake County/Sedol,Other,IL,800
TANGLEWOOD EL,FORT WORTH ISD,Elementary,TX,101
Millburn Elem School,Millburn CCSD 24,Elementary,IL,768
Loge Elementary School,Warrick County School Corp,Elementary,IN,262
Eagle Peak Middle,Ukiah Unified,Middle,CA,851
Sound School,NEW HAVEN SCHOOL DISTRICT,High,CT,308
MOODY EARLY CHILDHOOD CENTER,GALVESTON ISD,Prekindergarten,TX,585
HUDSON FALLS MIDDLE SCHOOL,HUDSON FALLS CENTRAL SCHOOL DISTRICT,Middle,NY,441
JEFFERSON VIRTUAL FRANCHISE,JEFFERSON,Other,FL,630
Tuolumne County Community/ISP,Tuolumne County Superintendent of Schools,Other,CA,278
RYAN EL,LAREDO ISD,Elementary,TX,613
Robert Brown Middle School,Greene County,Middle,AL,525
Algonquin Lakes Elem Sch,CUSD 300,Elementary,IL,786
THACKER AVENUE ELEMENTARY FOR INTERNATIONAL STUDIES,OSCEOLA,Elementary,FL,494
Glacier Creek Middle,Middleton-Cross Plains Area School District,Middle,WI,989
U S Grant Middle School,Springfield SD 186,Middle,IL,492
STEDY- San Luis HS Satellite,Southwest Technical Education District of Yuma (ST (92705),High,AZ,883
Birchwood Blue Hills Charter School,Birchwood School District,High,WI,835
Peet Junior High School,Cedar Falls Comm School District,Middle,IA,667
Santa Lucia Middle,Coast Unified,Middle,CA,179
GATEWAY ACHIEVEMENT CENTER,MARSHALL COUNTY SCHOOLS,Other,WV,253
FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,NEW YORK CITY GEOGRAPHIC DISTRICT # 9,High,NY,977
Carmen Arace Middle School,BLOOMFIELD SCHOOL DISTRICT,Middle,CT,280
VAN ARSDALE ELEMENTARY SCHOOL,Jefferson County School District No. R-1,Elementary,CO,157
Oak Canyon Jr High,Alpine District,Middle,UT,707
BUCHANAN MIDDLE SCHOOL,HILLSBOROUGH,Middle,FL,871
KENDALL EL,BOERNE ISD,Elementary,TX,521
Franklin County CTC,Franklin County CTC,High,PA,762
East Area,Institutional Schools,Ungraded,MA,990
LITTLE TRAPPERS PRESCHOOL,Weld re-8 schools,Prekindergarten,CO,652
Allen Elementary School,Marion Community Schools,Elementary,IN,830
MERIDIAN HIGH SCHOOL,MERIDIAN PUBLIC SCHOOLS,High,NE,337
McClure Health Science High School,Gwinnett County,High,GA,800
Toutle Lake High School,Toutle Lake School District,High,WA,238
Pauma Elementary,Valley Center-Pauma Unified,Elementary,CA,453
Lee/Winn School,RSU 30/MSAD 30,Elementary,ME,443
Warwick El Sch,Central Bucks SD,Elementary,PA,664
SOLAR PREP FOR BOYS AT JOHN F KENNEDY,DALLAS ISD,Elementary,TX,771
Haddam-Killingworth High School,REGIONAL SCHOOL DISTRICT 17,High,CT,776
LONE GROVE INTERMEDIATE SCHOOL,LONE GROVE,Elementary,OK,652
Palmer River,Dighton-Rehoboth,Elementary,MA,146
HEALDTON HS,HEALDTON,High,OK,313
HewittTrussville High School,Trussville City,High,AL,338
Bagley Elementary School of Journalism and Technology,Detroit Public Schools Community District,Elementary,MI,266
RUTH DOYLE INTERMEDIATE SCHOOL,CONWAY SCHOOL DISTRICT,Middle,AR,394
Eastern Elementary School,Henry County,Elementary,KY,927
5280 HIGH SCHOOL,School District No. 1 in the county of Denver and State of C,High,CO,686
Burbank Elementary,Modesto City Elementary,Elementary,CA,159
EL145,KILLEEN ISD,Not reported,TX,269
Shelby Elementary School,Shelby County,Elementary,AL,528
PS 141,NYC SPECIAL SCHOOLS - DISTRICT 75,Other,NY,566
Marshall High,Marshall School District,High,WI,261
FRANCISCO VALDES ROLA,PUERTO RICO DEPARTMENT OF EDUCATION,Elementary,PR,560
Red Mesa Junior High School,Red Mesa Unified District (4159),Middle,AZ,292
PALM RIVER ELEMENTARY SCHOOL,HILLSBOROUGH,Elementary,FL,794
NEW BEGINNINGS HIGH SCHOOL,POLK,High,FL,978
Lafayette Early Childhood Center,South Bend Community School Corp,Prekindergarten,IN,807
S. Christa McAuliffe Elementary,Montgomery County Public Schools,Elementary,MD,402
Alfred M Chaffee,Oxford,Elementary,MA,523
Coleman Elementary,Coleman School District,Elementary,WI,547
Pacific Crest Middle School,Bend-LaPine Administrative SD 1,Middle,OR,725
Campbell County Comprehensive High School,Campbell County,High,TN,213
Evergreen Middle School,Evergreen Local,Middle,OH,532
Pittsburgh Carmalt K-8,Pittsburgh SD,Elementary,PA,308
SUCHMA EL,CONROE ISD,Elementary,TX,937
MARY PAXTON KEELEY ELEM.,COLUMBIA 93,Elementary,MO,238
Crescent Academy PK1,Crescent Academy,Elementary,MI,920
Lake Forest Middle School,Bradley County,Middle,TN,817
WILLOW SPRINGS MIDDLE,LOVEJOY ISD,Middle,TX,916
Willard Elem School,Evanston CCSD 65,Elementary,IL,197
Brownstown El Sch,Conestoga Valley SD,Elementary,PA,785
LANEVILLE SCHOOL,LANEVILLE ISD,Other,TX,977
Le Mars Middle School,Le Mars Comm School District,Middle,IA,946
Kittredge Magnet School,DeKalb County,Middle,GA,690
UnionvilleSebewaing Middle School,Unionville-Sebewaing Area S.D.,Middle,MI,600
Moore Elementary School,Griffin-Spalding County,Elementary,GA,143
POMONA HIGH SCHOOL,Jefferson County School District No. R-1,High,CO,329
Mount Hebron High,Howard County Public Schools,High,MD,113
Skill Source Learning Center,Moses Lake School District,High,WA,434
Ramtown Elementary School,HOWELL TOWNSHIP PUBLIC SCHOOL DISTRICT,Elementary,NJ,375
DRUMMOND HS,DRUMMOND,High,OK,534
Highland Elementary School,Evansville Vanderburgh School Corp,Elementary,IN,297
Shepaug Valley School,REGIONAL SCHOOL DISTRICT 12,High,CT,425
VICTORIA WEST H S,VICTORIA ISD,High,TX,747
BRADEN RIVER MIDDLE SCHOOL,MANATEE,Middle,FL,243
Starling Elementary School,Gwinnett County,Elementary,GA,772
Secondary Academy for Success,Northshore School District,High,WA,813
ROXBURY CENTRAL SCHOOL,ROXBURY CENTRAL SCHOOL DISTRICT,Other,NY,107
Harborside Elementary,Chula Vista Elementary,Elementary,CA,157
LAKE MINNEOLA HIGH SCHOOL,LAKE,High,FL,195
WEDGEWOOD EL,CLEAR CREEK ISD,Elementary,TX,439
Lakeview Middle School,Lakeview Local,Middle,OH,186
St. Marys Junior Senior High,Kaw Valley,High,KS,263
AGANA HEIGHTS ELEMENTARY SCHOOL,Guam Department of Education,Elementary,GU,197
270 HOPKINS WEST JR HIGH ALC,INTERMEDIATE SCHOOL DISTRICT 287,Middle,MN,413
JOHN GLENN MIDDLE,North St. Paul-Maplewood Oakdale,Middle,MN,184
San Bernardino County ROP,San Bernardino County ROP,High,CA,282
Sarah Scott Middle School,Vigo County School Corp,Middle,IN,225
BASIN ELEMENTARY SCHOOL,BASIN SCHOOL DISTRICT,Elementary,ID,185
Ruiz Elem School,City of Chicago SD 299,Elementary,IL,232
Lenape El Sch,Armstrong SD,Elementary,PA,745
John McIntire Elementary School,Zanesville City,Elementary,OH,669
HARRY F ABATE ELEMENTARY SCHOOL,NIAGARA FALLS CITY SCHOOL DISTRICT,Elementary,NY,889
QUESTA HIGH,QUESTA INDEPENDENT SCHOOLS,High,NM,302
MAYPEARL PRI,MAYPEARL ISD,Elementary,TX,169
Douglass High,Shelby County,High,TN,238
EASTWOOD KNOLLS,YSLETA ISD,Elementary,TX,305
Ducketts Lane,Howard County Public Schools,Elementary,MD,671
President George Washington Middle School,Hawaii Department of Education,Middle,HI,599
Farnham Charter,Cambrian,Elementary,CA,832
CHESTERFIELD CAREER AND TECHNICAL CENTER AT COURTHOUSE,CHESTERFIELD CO PBLC SCHS,Not applicable,VA,300
Perry County Central High School,Perry County,High,KY,493
Grayslake Middle School,Grayslake CCSD 46,Middle,IL,373
Glenwood Elementary School,Wachusett,Elementary,MA,603
ALBAN ELEMENTARY SCHOOL,KANAWHA COUNTY SCHOOLS,Elementary,WV,872
Tippecanoe Valley High School,Tippecanoe Valley School Corp,High,IN,750
EARLY CHILDHOOD CENTER,Douglas County School District No. Re 1,Prekindergarten,CO,427
West Village Academy,West Village Academy,Elementary,MI,695
CHESTERFIELD CO GOV'S HEALTH/SCIENCE ACADEMY,CHESTERFIELD CO PBLC SCHS,Not applicable,VA,415
EVIT - Desert Ridge High School,East Valley Institute of Technology (4516),High,AZ,356
INFANT CENTER,GARLAND ISD,Not reported,TX,207
Hillsdale High,San Mateo Union High,High,CA,145
Hubert Middle School,Savannah-Chatham County,Middle,GA,451
Laurel Oaks Cdc,Great Oaks Career Campuses,High,OH,832
Swiftwater Learning Center,Cle Elum-Roslyn School District,High,WA,701
CODY ELEMENTARY SCHOOL,NORTH PLATTE PUBLIC SCHOOLS,Elementary,NE,354
Armuchee Middle School,Floyd County,Middle,GA,501
E Otis Vaughn Middle School,WASHOE COUNTY SCHOOL DISTRICT,Middle,NV,119
Mt View Elementary,Puyallup School District,Elementary,WA,308
Stuart Burns Elementary,Dickson County,Elementary,TN,646
Juban Parc Elementary School,Livingston Parish,Elementary,LA,950
Nakina Middle,Columbus County Schools,Middle,NC,200
VIDOR H S,VIDOR ISD,High,TX,997
STEELVILLE MIDDLE,STEELVILLE R-III,Middle,MO,570
Brookside Elementary,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,Elementary,MN,430
Brookwood Elementary School,Hillsboro SD 1J,Elementary,OR,105
McClure Jr High School,Western Springs SD 101,Middle,IL,230
Henking Elem School,Glenview CCSD 34,Elementary,IL,659
ESU 3 HEAD START - PARKVIEW HEIGHTS,EDUCATIONAL SERVICE UNIT 03,Prekindergarten,NE,938
New Hingham Regional Elementary,Chesterfield-Goshen,Elementary,MA,623
Excel Institute,Excel Institute,Not reported,AL,870
Nueva Vista Language Academy,Delano Union Elementary,Elementary,CA,626
CANTON ELEM.,CANTON R-V,Elementary,MO,445
PETAL HIGH SCHOOL,PETAL SCHOOL DIST,High,MS,219
Ridge Park El Sch,Colonial SD,Elementary,PA,492
Prairie High School,College Comm School District,High,IA,703
Millington Middle School,Millington Municipal Schools,Middle,TN,849
La Quinta High,Garden Grove Unified,High,CA,956
The Academy at Old Cockrill,Davidson County,High,TN,995
River Cities High,Wisconsin Rapids School District,High,WI,560
DR MARTIN LUTHER KING SCHOOL JR ELEMENTARY SCHOOL,SCHENECTADY CITY SCHOOL DISTRICT,Elementary,NY,878
GOLFCREST EL,HOUSTON ISD,Elementary,TX,188
BOWLEGS ES,BOWLEGS,Elementary,OK,351
Palm Desert Charter Middle,Desert Sands Unified,Middle,CA,507
David C. Douglass Memorial School,Lower Township Elementary School District,Elementary,NJ,391
PS 28 MOUNT HOPE,NEW YORK CITY GEOGRAPHIC DISTRICT # 9,Elementary,NY,125
FOUNTAIN-FORT CARSON HIGH SCHOOL,Fountain School District No. 8 in the county of El Paso an,High,CO,824
WALNUT ATTENDANCE CENTER,NORTH TIPPAH SCHOOL DIST,Other,MS,293
Sussex Orthopedic Program,Seaford School District,Other,DE,492
Manheim Central MS,Manheim Central SD,Middle,PA,598
ConneXions: A  Community Based Arts School,Baltimore City Public Schools,High,MD,769
Brewster Elementary School,Brewster School District,Elementary,WA,774
Rosedale Elementary School,Hillsboro SD 1J,Elementary,OR,347
Joseph McAvinnue,Lowell,Elementary,MA,180
TEJEDA MIDDLE,NORTH EAST ISD,Middle,TX,970
CYRIL JHS,CYRIL,Middle,OK,293
Valley Springs Elementary,Calaveras Unified,Elementary,CA,307
Goldendale High School,Goldendale School District,High,WA,453
Whale Pass School,Southeast Island School District,Other,AK,851
Parkland HS,Parkland SD,High,PA,633
Port Angeles High School,Port Angeles School District,High,WA,903
LINDSAY MS,LINDSAY,Middle,OK,756
NEW EL 128,LEANDER ISD,Not reported,TX,174
Oxford Elem,Oxford,Elementary,KS,108
VOGEL INT,CONROE ISD,Middle,TX,275
TAOS MUNICIPAL CHARTER,TAOS MUNICIPAL SCHOOLS,Elementary,NM,415
Merced City School District Community Day,Merced City Elementary,Elementary,CA,429
Buena Terra Elementary,Centralia Elementary,Elementary,CA,670
Spooner High,Spooner Area School District,High,WI,595
PLANO WEST SENIOR H S,PLANO ISD,High,TX,217
Arboretum Elementary,Waunakee Community School District,Elementary,WI,103
Harter Elementary School,Canton City,Elementary,OH,237
Sycamore Elementary School,Vail Unified District (4413),Elementary,AZ,143
Kentwood Elementary,Los Angeles Unified,Elementary,CA,609
CARROLLTON CLASSICAL ACADEMY,TEXAS COLLEGE PREPARATORY ACADEMIES,Other,TX,911
Ardmore Elem School,SD 45 DuPage County,Elementary,IL,954
Newton D Baker School,Cleveland Municipal,Other,OH,165
RANSON ELEMENTARY SCHOOL,JEFFERSON COUNTY SCHOOLS,Elementary,WV,223
West Clermont Middle School,West Clermont Local,Middle,OH,592
Mattie Wells Elementary School,Jones County,Elementary,GA,240
HARMONY SCHOOL OF FINE ARTS AND TECHNOLOGY-HOUSTON,HARMONY SCIENCE ACADEMY,Elementary,TX,229
Aycock Elementary,Vance County Schools,Elementary,NC,915
Skelly Elementary School,El Dorado,Elementary,KS,755
ALDRICH ELEMENTARY,MILLARD PUBLIC SCHOOLS,Elementary,NE,585
Nathan Hale Intermediate,Cook County SD 130,Elementary,IL,568
South Tamarind Elementary,Fontana Unified,Elementary,CA,910
ROLLA TECHNICAL CTR.,ROLLA 31,High,MO,992
JAMES W. SIKES ELEMENTARY SCHOOL,POLK,Elementary,FL,731
ROUND ROCK H S,ROUND ROCK ISD,High,TX,608
Powers Elementary School,Amherst Exempted Village,Elementary,OH,852
Virginia Rocca Barton Elementary,Alisal Union,Elementary,CA,474
Sault Area High School,Sault Ste. Marie Area Schools,High,MI,899
LITTLE TIGER PRESCHOOL,STOCKTON R-I,Prekindergarten,MO,869
Bay View Montessori School,Milwaukee School District,Elementary,WI,835
Glen Oaks Elem School,North Palos SD 117,Elementary,IL,461
Betsie Valley School,Benzie County Central Schools,Elementary,MI,188
Osborn High School,Detroit Public Schools Community District,High,MI,973
NEW MIDDLE #16,FORT BEND ISD,Not reported,TX,976
Cascade View Elementary,Snohomish School District,Elementary,WA,786
Reg'l Learning Center Star Winn,Boone/Winnebago ROE,High,IL,697
THEODORE R. AND THELMA A. GIBSON CHARTER SCHOOL,MIAMI-DADE,Elementary,FL,593
Early Childhood Dev Cntr,Aurora East USD 131,Prekindergarten,IL,614
John C. Kimball High,Tracy Joint Unified,High,CA,435
Madison Kindergarten Academy,Madison County,Elementary,KY,942
MONROE 1 BOCES,MONROE 1 BOCES,Other,NY,183
Playa del Rey Elementary,Los Angeles Unified,Elementary,CA,844
JHS 88 PETER ROUGET,NEW YORK CITY GEOGRAPHIC DISTRICT #15,Middle,NY,458
Burney Elementary,Fall River Joint Unified,Elementary,CA,236
HARTSFIELD EL,HOUSTON ISD,Elementary,TX,185
LINCOLN ELEMENTARY,Elk River School District,Elementary,MN,751
Echo Mountain Primary School,Paradise Valley Unified District (4241),Elementary,AZ,559
Douglas County High School,DOUGLAS COUNTY SCHOOL DISTRICT,High,NV,120
5280 HIGH SCHOOL,School District No. 1 in the county of Denver and State of C,High,CO,554
MORRIS HS,MORRIS,High,OK,440
Lin-Wood Public School (Middle),Lincoln-Woodstock School District,Middle,NH,407
Flandreau Indian Boarding School,Flandreau Indian Boarding School,High,BI,799
Chesapeake Middle School,Chesapeake Union Exempted Village,Middle,OH,393
Plymouth El Sch,Colonial SD,Elementary,PA,421
FAIRVIEW SPECIAL PROGRAMS,CHRISTOVAL ISD,Not reported,TX,658
THOMAS JEFFERSON ES,UNION,Elementary,OK,560
Starlight Elementary,Beaumont Unified,Elementary,CA,994
Huxford Elementary School,Escambia County,Elementary,AL,941
Eufaula Elementary School,Eufaula City,Elementary,AL,839
Woodlawn Elem,Lawrence,Elementary,KS,329
Beecher Junior High School,Beecher CUSD 200U,Middle,IL,361
Coleman Elementary,San Rafael City Elementary,Elementary,CA,388
KING'S FORK MIDDLE,SUFFOLK CITY PBLC SCHS,Middle,VA,774
Camanche High School,Camanche Comm School District,High,IA,678
The Bayard School,Christina School District,Elementary,DE,214
PS 126 DR MARJORIE H DUNBAR,NEW YORK CITY GEOGRAPHIC DISTRICT # 9,Elementary,NY,959
R.K. Smith Middle School,St. Charles Parish,Middle,LA,244
Coral Academy of Science Las Vegas Eastgate,STATE-SPONSORED CHARTER SCHOOLS,Elementary,NV,386
Elms Elementary School,Flushing Community Schools,Elementary,MI,355
Palm Desert High,Desert Sands Unified,High,CA,316
OLEAN INTERMEDIATE-MIDDLE SCHOOL,OLEAN CITY SCHOOL DISTRICT,Middle,NY,933
Fairmont Elementary,West Contra Costa Unified,Elementary,CA,181
Rancho Mirage High,Palm Springs Unified,High,CA,965
CHARLES W BAKER HIGH SCHOOL,BALDWINSVILLE CENTRAL SCHOOL DISTRICT,High,NY,927
Lewis and Clark High School,Vancouver School District,High,WA,994
Olentangy Berlin High School,Olentangy Local,High,OH,738
Bridges Learning Center,Kaskaskia Spec Educ District,Other,IL,283
Pacific Heritage Academy,Pacific Heritage Academy,Elementary,UT,777
Benchmark School,Benchmark School Inc. (10972),Elementary,AZ,352
E.E. Jeter Elementary/Middle,Shelby County,Elementary,TN,926
BANE EL,CYPRESS-FAIRBANKS ISD,Elementary,TX,854
ALAN B SHEPARD MIDDLE,SOUTH SAN ANTONIO ISD,Middle,TX,490
Catawba Heights Elementary,Gaston County Schools,Elementary,NC,718
WOODLANDS MIDDLE SCHOOL,PALM BEACH,Middle,FL,355
ARTESIA PARK JUNIOR HIGH,ARTESIA PUBLIC SCHOOLS,Secondary,NM,448
PS 97 FOREST PARK,NEW YORK CITY GEOGRAPHIC DISTRICT #27,Elementary,NY,952
MATHIS EL,MATHIS ISD,Elementary,TX,709
WEST ELEM.,CENTRAL R-III,Elementary,MO,818
INGOMAR ATTENDANCE CENTER,UNION CO SCHOOL DIST,Other,MS,951
ROCKWOOD SUMMIT SR. HIGH,ROCKWOOD R-VI,High,MO,529
Grantham Middle,Wayne County Public Schools,Middle,NC,975
SARAH STRINDEN EL,PINEYWOODS COMMUNITY ACADEMY,Elementary,TX,900
KIT CARSON ELEMENTARY SCHOOL,Kit Carson School District No. R-1,Elementary,CO,971
Laker High School,Elkton-Pigeon-Bay Port Laker Schools,High,MI,781
MARIETTA HS,MARIETTA,High,OK,728
West View Elementary,Knox County,Elementary,TN,481
Lynn English High,Lynn,High,MA,811
STEUBING RANCH EL,NORTH EAST ISD,Elementary,TX,667
Webster Area Middle School - 02,Webster Area 18-5,Middle,SD,175
Walnut Creek Middle School,Walled Lake Consolidated Schools,Middle,MI,506
Potosi Middle,Potosi School District,Middle,WI,669
MELROSE PARK ELEMENTARY SCHOOL,COLUMBIA,Elementary,FL,328
VELMA-ALMA ES,VELMA-ALMA,Elementary,OK,666
DORCHESTER ELEMENTARY SCHOOL,DORCHESTER PUBLIC SCHOOL,Elementary,NE,471
SHERROD EL,ARLINGTON ISD,Elementary,TX,956
PS 2 MEYER LONDON,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,Elementary,NY,265
J N Fries Magnet School,Cabarrus County Schools,Middle,NC,553
Samuel Brown Academy,Gervais SD 1,High,OR,653
Shiloh Elementary School,Shiloh Village SD 85,Elementary,IL,688
KELLER MIDDLE,PASADENA ISD,Middle,TX,456
MARTIN LUTHER KING JR HIGH SCHOOL,GREENBURGH-GRAHAM UNION FREE SCHOOL DISTRICT,Other,NY,771
JAMES IRWIN CHARTER ACADEMY,State Charter School Institute,Elementary,CO,534
HART EL,AUSTIN ISD,Elementary,TX,592
Desert Cove Elementary School,Paradise Valley Unified District (4241),Elementary,AZ,666
Nogales High School,Nogales Unified District (4457),High,AZ,817
NAVIT - Northland Pioneer College LCC,Northern Arizona Vocational Institute of Technolog (78786),High,AZ,322
TEXAS CITY H S,TEXAS CITY ISD,High,TX,544
DEL VALLE EL,YSLETA ISD,Elementary,TX,294
Frederick Harris,Springfield,Elementary,MA,157
Maple Creek Elementary,Clovis Unified,Elementary,CA,953
Alice M Birney K8 School,Southfield Public School District,Elementary,MI,511
ADA EC CTR,ADA,Elementary,OK,682
EAST VIEW H S,GEORGETOWN ISD,High,TX,245
Orchard View School,Middlebury Community Schools,Elementary,IN,615
Irmo High,Lexington 05,High,SC,221
Academy Adventures Mid-town,Educational Impact Inc. (81123),Not reported,AZ,283
KEYS GATE CHARTER HIGH SCHOOL,MIAMI-DADE,High,FL,325
LAKE ALFRED POLYTECH ACADEMY,POLK,Middle,FL,325
